台灣頻道,#genre#
台視新聞HD,http://docker.livednow.dpdns.org/4gtv-4gtv051/index.m3u8
台視新聞HD,https://smart.pendy.dpdns.org/youtube.php?id=xL0ch83RAK8
台視新聞HD,https://smart.pendy.dpdns.org/Smart.php?id=ttvnews_twn
台視綜合HD,https://smart.pendy.dpdns.org/Smart.php?id=ttvzhonghe
台視財經,http://docker.livednow.dpdns.org/4gtv-4gtv056/index.m3u8
台灣戲劇台,http://docker.livednow.dpdns.org/li-litv-longturn22/index.m3u8
台灣戲劇台,http://docker.livednow.dpdns.org/litv-longturn22/index.m3u8
華視,http://docker.livednow.dpdns.org/of-4gtv-4gtv041/index.m3u8
華視,http://docker.livednow.dpdns.org/li-4gtv-4gtv041/index.m3u8
華視,https://smart.pendy.dpdns.org/Smart.php?id=ctshd_twn
華視,http://live4play.uk/livehttpplay?channel_id=20086
華視,http://108.181.20.197/livehttpplay?channel_id=20086
華視,rtmp://f13h.mine.nu/sat/tv111
華視,rtmp://9hv9.mine.nu/sat/tv111
華視,rtmp://60.248.77.83/sat/tv111
公視,http://live4play.uk/livehttpplay?channel_id=20087
公視,http://108.181.20.197/livehttpplay?channel_id=20087
公視,http://50.7.234.10:8278/ctv_taiwan/playlist.m3u8?ct=17990&tid=13765524&tsum=03eb77c1c186944b97737f14e95076c0
公視,http://198.16.100.186:8278/ctv_taiwan/playlist.m3u8?tid=MDCD6096520560965205&ct=19249&tsum=64237c7ffa0c00b62657a938247bcab0
公視,http://50.7.234.10:8278/ctv_taiwan/playlist.m3u8?ct=17990&tid=13765524&tsum=03eb77c1c186944b97737f14e95076c0
公視戲劇,http://docker.livednow.dpdns.org/4gtv-4gtv042/index.m3u8
公視戲劇,http://docker.livednow.dpdns.org/li-4gtv-4gtv042/index.m3u8
公視台語台,https://smart.pendy.dpdns.org/Smart.php?id=ctv2_twn
公視新聞網,https://smart.pendy.dpdns.org/youtube.php?id=quwqlazU-c8
中天新聞,https://smart.pendy.dpdns.org/Smart.php?id=ctinews
中天新聞,http://docker.livednow.dpdns.org/4gtv-4gtv009/index.m3u8
中天新聞,http://docker.livednow.dpdns.org/li-4gtv-4gtv009/index.m3u8
中天新聞,http://docker.livednow.dpdns.org/of-4gtv-4gtv009/index.m3u8
中天綜合,https://smart.pendy.dpdns.org/Smart.php?id=ctizhonghe
中天亞洲台,https://smart.pendy.dpdns.org/Smart.php?id=ctiasia_twn
中天亞洲台,http://docker.livednow.dpdns.org/4gtv-4gtv109/index.m3u8
中天娛樂,https://smart.pendy.dpdns.org/Smart.php?id=ctient
中天娛樂,http://live4play.uk/livehttpplay?channel_id=20079
壹新聞,http://live4play.uk/livehttpplay?channel_id=20028
壹新聞,http://108.181.20.197/livehttpplay?channel_id=20028
年代新聞,https://smart.pendy.dpdns.org/Smart.php?id=niandainews_twn
年代新聞,http://live4play.uk/livehttpplay?channel_id=20033
年代新聞,http://108.181.20.197/livehttpplay?channel_id=20033
非凡新聞,https://smart.pendy.dpdns.org/Smart.php?id=feifannews_twn
非凡新聞,http://live4play.uk/livehttpplay?channel_id=20034
非凡新聞,http://108.181.20.197/livehttpplay?channel_id=20034
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
非凡新聞,rtmp://9hv9.mine.nu/sat/tv581
寰宇新聞,http://docker.livednow.dpdns.org/litv-longturn14/index.m3u8
寰宇新聞,http://docker.livednow.dpdns.org/li-litv-longturn14/index.m3u8
寰宇新聞,http://docker.livednow.dpdns.org/of-litv-longturn14/index.m3u8
寰宇新聞,https://smart.pendy.dpdns.org/youtube.php?id=6IquAgfvYmc
寰宇新聞,https://smart.pendy.dpdns.org/Smart.php?id=huanyuxinwen_twn
寰宇新聞台灣台,http://docker.livednow.dpdns.org/4gtv-4gtv156/index.m3u8
寰宇新聞台灣台,http://docker.livednow.dpdns.org/li-4gtv-4gtv156/index.m3u8
寰宇新聞台灣台,http://docker.livednow.dpdns.org/of-4gtv-4gtv156/index.m3u8
寰宇財經,http://docker.livednow.dpdns.org/4gtv-4gtv158/index.m3u8
寰宇財經,http://docker.livednow.dpdns.org/li-4gtv-4gtv158/index.m3u8
寰宇財經,http://docker.livednow.dpdns.org/of-4gtv-4gtv158/index.m3u8
寰宇財經,https://smart.pendy.dpdns.org/youtube.php?id=WTRQiVWK1jY
鏡新聞,http://docker.livednow.dpdns.org/li-4gtv-4gtv075/index.m3u8
鏡新聞,http://docker.livednow.dpdns.org/4gtv-4gtv075/index.m3u8
鏡新聞,https://smart.pendy.dpdns.org/youtube.php?id=5n0y6b0Q25o
TVBS新聞台,https://smart.pendy.dpdns.org/Smart.php?id=tvbs_n
TVBS精采台,http://docker.livednow.dpdns.org/li-4gtv-4gtv067/index.m3u8
TVBS精采台,http://docker.livednow.dpdns.org/4gtv-4gtv067/index.m3u8
TVBS精采台,http://live4play.uk/livehttpplay?channel_id=20136
TVBS歡樂台,https://smart.pendy.dpdns.org/Smart.php?id=tvbshuanle_twn
TVBS歡樂台,http://docker.livednow.dpdns.org/4gtv-4gtv068/index.m3u8
TVBS歡樂台,http://docker.livednow.dpdns.org/li-4gtv-4gtv068/index.m3u8
TVBS歡樂台,http://live4play.uk/livehttpplay?channel_id=20105
TVBS歡樂台,http://108.181.20.197/livehttpplay?channel_id=20105
TVBS HD,https://smart.pendy.dpdns.org/Smart.php?id=tvbs
TVBS HD,http://docker.livednow.dpdns.org/li-4gtv-4gtv073/index.m3u8
TVBS HD,http://docker.livednow.dpdns.org/4gtv-4gtv073/index.m3u8
TVBS HD,http://live4play.uk/livehttpplay?channel_id=20085
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS亞洲台,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
東森新聞,https://smart.pendy.dpdns.org/Smart.php?id=ettvnews
東森新聞,http://docker.livednow.dpdns.org/4gtv-4gtv152/index.m3u8
東森新聞,http://docker.livednow.dpdns.org/li-4gtv-4gtv152/index.m3u8
東森財經,https://smart.pendy.dpdns.org/Smart.php?id=ettvcaijing_twn
東森財經,http://docker.livednow.dpdns.org/4gtv-4gtv153/index.m3u8
東森財經,http://docker.livednow.dpdns.org/li-4gtv-4gtv153/index.m3u8
東森財經,https://smart.pendy.dpdns.org/youtube.php?id=1I2iq41Akmo
東森財經,http://live4play.uk/livehttpplay?channel_id=20078
東森美洲,http://38.64.72.148/hls/modn/list/2016/chunklist0.m3u8
東森美洲,http://extraott.com:80/live/6772191932/1654508883/473538.m3u8
東森超視,http://122.117.71.103:8524/http/220.130.87.218:8081/hls/64/806/ch014.m3u8
東森超視,rtmp://f13h.mine.nu/sat/tv331
東森超視,rtmp://9hv9.mine.nu/sat/tv331
東森超視,rtmp://60.248.77.83/sat/tv331
東森亞洲新聞,http://38.64.72.148:80/hls/modn/list/2016/chunklist0.m3u8
東森綜合,https://smart.pendy.dpdns.org/Smart.php?id=ettvzhonghe
東森綜合,http://live4play.uk/livehttpplay?channel_id=20104
東森戲劇,https://smart.pendy.dpdns.org/Smart.php?id=ettvdrama
東森戲劇,http://live4play.uk/livehttpplay?channel_id=20072
